id_venda,data_venda,ano,mes,dia,quantidade,valor_total,canal_venda,nome_produto,categoria,linha,nome_cliente,estado,categoria_email
2677,2025-02-14 23:00:25,2025,2,14,3,247.38,Revendedora,Condicionador Match - Variação 3,Cabelos,Condicionador Match,Kamilly da Cruz,MT,Outros
2936,2025-01-28 22:39:52,2025,1,28,2,223.50,App,Floratta - Variação 2,Perfumaria,Floratta,Aylla Fogaça,CE,Outros
2875,2025-07-22 22:08:42,2025,7,22,3,610.11,Site,Glamour - Variação 1,Perfumaria,Glamour,Nicole Garcia,AM,Outros
1866,2025-09-10 13:12:47,2025,9,10,2,492.00,Site,Óleo Corporal - Variação 1,Corpo e Banho,Óleo Corporal,Sra. Ana Luiza Gomes,SP,Outros
1049,2025-03-02 22:54:21,2025,3,2,5,1237.15,Loja Física,Sabonete Líquido - Variação 2,Corpo e Banho,Sabonete Líquido,Luna Mendonça,PB,Outros
2733,2025-04-19 11:47:19,2025,4,19,5,1059.70,Loja Física,Loção Nativa SPA - Variação 1,Corpo e Banho,Loção Nativa SPA,Ana Luiza Fernandes,RO,Outros
2927,2025-10-29 22:21:59,2025,10,29,2,282.70,Revendedora,Malbec - Variação 3,Perfumaria,Malbec,Noah Martins,MG,Outros
2843,2025-02-01 08:33:20,2025,2,1,1,32.83,App,Loção Nativa SPA - Variação 3,Corpo e Banho,Loção Nativa SPA,Maria Helena Abreu,RJ,Gmail User
2978,2025-02-04 20:07:51,2025,2,4,5,944.55,App,Malbec - Variação 2,Perfumaria,Malbec,Anna Liz Leão,RS,Outros
2943,2025-07-31 19:07:19,2025,7,31,2,377.82,App,Malbec - Variação 2,Perfumaria,Malbec,Dra. Letícia Ribeiro,GO,Gmail User
2916,2025-04-23 16:09:31,2025,4,23,1,76.59,Revendedora,Batom Make B. - Variação 2,Maquiagem,Batom Make B.,Paulo Novais,PA,Gmail User
2646,2024-12-19 20:52:33,2024,12,19,5,380.35,Revendedora,Egeo - Variação 1,Perfumaria,Egeo,Esther da Cunha,RN,Outros
1808,2025-05-27 22:51:35,2025,5,27,2,164.92,App,Condicionador Match - Variação 3,Cabelos,Condicionador Match,Yan Abreu,PR,Outros
2666,2025-08-27 17:28:30,2025,8,27,4,437.00,Loja Física,Óleo Corporal - Variação 3,Corpo e Banho,Óleo Corporal,Alana Sá,PE,Outros
2826,2025-05-21 19:16:42,2025,5,21,4,989.72,Revendedora,Sabonete Líquido - Variação 2,Corpo e Banho,Sabonete Líquido,Maysa Barbosa,MG,Outros
2571,2025-03-11 05:21:15,2025,3,11,4,437.00,Loja Física,Óleo Corporal - Variação 3,Corpo e Banho,Óleo Corporal,Yago Pereira,MG,Outros
2862,2024-12-08 15:22:09,2024,12,8,5,1134.00,App,Floratta - Variação 1,Perfumaria,Floratta,Bruno Melo,CE,Outros
2095,2025-06-24 18:42:39,2025,6,24,3,94.29,Loja Física,Quasar - Variação 2,Perfumaria,Quasar,Amanda das Neves,TO,Gmail User
2727,2025-02-08 06:54:49,2025,2,8,3,374.58,App,Máscara de Cílios - Variação 2,Maquiagem,Máscara de Cílios,Emanuelly Siqueira,PE,Outros
2844,2025-09-28 02:14:19,2025,9,28,4,984.00,App,Óleo Corporal - Variação 1,Corpo e Banho,Óleo Corporal,Maria Luísa Mendonça,SP,Outros
2971,2025-08-14 17:12:14,2025,8,14,4,836.40,App,Shampoo Match - Variação 1,Cabelos,Shampoo Match,Helena Sousa,CE,Outros
2832,2025-08-18 16:40:31,2025,8,18,3,369.45,Loja Física,Base Mate - Variação 2,Maquiagem,Base Mate,Danilo Azevedo,CE,Outros
2670,2025-09-11 15:49:43,2025,9,11,5,1112.40,Revendedora,Quasar - Variação 1,Perfumaria,Quasar,Ana Vitória Castro,AM,Outros
2932,2025-09-19 15:50:35,2025,9,19,3,507.18,Loja Física,Condicionador Match - Variação 1,Cabelos,Condicionador Match,Dr. João Gabriel Montenegro,CE,Outros
2789,2025-08-23 18:46:50,2025,8,23,3,658.05,App,Máscara Capilar - Variação 3,Cabelos,Máscara Capilar,Dr. João Pedro Ribeiro,RR,Outros
2381,2025-11-27 05:50:04,2025,11,27,5,912.65,Loja Física,Máscara Capilar - Variação 2,Cabelos,Máscara Capilar,Isabella Santos,TO,Outros
2999,2025-05-11 17:47:35,2025,5,11,3,228.21,App,Egeo - Variação 1,Perfumaria,Egeo,Dr. Samuel Cassiano,PB,Outros
2812,2025-09-26 09:09:08,2025,9,26,3,566.73,Revendedora,Malbec - Variação 2,Perfumaria,Malbec,Diego Jesus,RR,Outros
2658,2025-06-04 01:36:42,2025,6,4,5,157.15,App,Quasar - Variação 2,Perfumaria,Quasar,Lunna Vieira,PB,Outros
2521,2025-02-09 17:31:00,2025,2,9,2,406.74,Loja Física,Glamour - Variação 1,Perfumaria,Glamour,Dr. José Marques,SC,Outros
2955,2025-05-26 08:00:48,2025,5,26,2,125.40,App,Glamour - Variação 2,Perfumaria,Glamour,Lunna Souza,MG,Outros
2758,2025-07-23 17:34:01,2025,7,23,1,31.43,App,Quasar - Variação 2,Perfumaria,Quasar,Igor Melo,TO,Outros
2830,2025-07-01 11:09:08,2025,7,1,3,98.49,Site,Loção Nativa SPA - Variação 3,Corpo e Banho,Loção Nativa SPA,Arthur Gabriel Sales,ES,Outros
1005,2025-04-30 18:29:40,2025,4,30,2,290.26,Loja Física,Egeo - Variação 3,Perfumaria,Egeo,Agatha da Mota,ES,Outros
2700,2025-01-06 02:16:25,2025,1,6,1,226.80,Loja Física,Floratta - Variação 1,Perfumaria,Floratta,Dra. Stephany da Rosa,SP,Outros
1906,2025-03-06 14:51:48,2025,3,6,3,435.39,App,Egeo - Variação 3,Perfumaria,Egeo,Milena da Conceição,AL,Outros
2879,2025-04-26 16:01:53,2025,4,26,5,392.40,Loja Física,Loção Nativa SPA - Variação 2,Corpo e Banho,Loção Nativa SPA,Cauã Oliveira,BA,Outros
2568,2025-10-15 03:14:46,2025,10,15,4,836.40,App,Shampoo Match - Variação 1,Cabelos,Shampoo Match,Vitória Cunha,PE,Gmail User
2628,2025-02-01 04:54:00,2025,2,1,2,420.40,Revendedora,Base Mate - Variação 1,Maquiagem,Base Mate,Henry Gonçalves,RJ,Outros
2357,2025-10-31 11:38:55,2025,10,31,4,877.40,Site,Máscara Capilar - Variação 3,Cabelos,Máscara Capilar,Danilo Guerra,TO,Outros
1404,2025-05-01 03:51:42,2025,5,1,5,1134.00,Loja Física,Floratta - Variação 1,Perfumaria,Floratta,Bella Casa Grande,AP,Outros
2148,2025-05-07 11:10:46,2025,5,7,5,617.30,Revendedora,Shampoo Match - Variação 2,Cabelos,Shampoo Match,Sofia Gomes,MG,Outros
2616,2025-06-13 16:04:11,2025,6,13,4,989.72,App,Sabonete Líquido - Variação 2,Corpo e Banho,Sabonete Líquido,Sr. Lucas Gabriel Azevedo,MS,Outros
2835,2025-08-14 22:09:54,2025,8,14,3,228.21,Revendedora,Egeo - Variação 1,Perfumaria,Egeo,Manuela Vargas,MA,Outros
2691,2024-12-20 22:47:38,2024,12,20,2,218.50,Loja Física,Óleo Corporal - Variação 3,Corpo e Banho,Óleo Corporal,Vitor da Costa,PB,Outros
2760,2025-01-10 08:02:58,2025,1,10,3,742.29,Revendedora,Sabonete Líquido - Variação 2,Corpo e Banho,Sabonete Líquido,Oliver Aragão,PA,Outros
2196,2025-10-02 17:50:27,2025,10,2,4,840.80,Site,Base Mate - Variação 1,Maquiagem,Base Mate,Kevin Campos,SE,Outros
2399,2025-10-26 01:07:39,2025,10,26,2,477.26,Revendedora,Máscara de Cílios - Variação 3,Maquiagem,Máscara de Cílios,Olivia Aparecida,MT,Outros
2913,2025-02-17 07:51:54,2025,2,17,1,123.15,Loja Física,Base Mate - Variação 2,Maquiagem,Base Mate,Miguel Nogueira,RO,Outros
2910,2025-01-20 07:47:15,2025,1,20,1,141.35,Loja Física,Malbec - Variação 3,Perfumaria,Malbec,Paulo Cavalcante,MS,Gmail User
2841,2025-06-25 13:53:25,2025,6,25,4,643.20,App,Floratta - Variação 3,Perfumaria,Floratta,Davi Miguel Moura,MT,Outros
2046,2025-04-16 08:39:01,2025,4,16,3,247.38,Loja Física,Condicionador Match - Variação 3,Cabelos,Condicionador Match,Sr. Yan Nogueira,MT,Outros
2964,2025-05-14 09:11:03,2025,5,14,2,321.40,Site,Base Mate - Variação 3,Maquiagem,Base Mate,Nina Rodrigues,RJ,Outros
2344,2025-03-25 16:20:28,2025,3,25,4,643.20,Revendedora,Floratta - Variação 3,Perfumaria,Floratta,Dra. Maitê Nunes,MT,Outros
1315,2025-10-02 17:14:08,2025,10,2,5,617.30,Loja Física,Shampoo Match - Variação 2,Cabelos,Shampoo Match,Dr. Murilo Cardoso,MG,Outros
2732,2025-09-22 05:39:58,2025,9,22,3,414.15,App,Glamour - Variação 3,Perfumaria,Glamour,Henrique Pacheco,PI,Outros
2136,2025-10-24 18:14:15,2025,10,24,5,731.85,App,Máscara Capilar - Variação 1,Cabelos,Máscara Capilar,Aylla Gonçalves,TO,Outros
2911,2025-01-29 08:17:40,2025,1,29,3,229.77,Revendedora,Batom Make B. - Variação 2,Maquiagem,Batom Make B.,Daniel Leão,AL,Outros
2931,2025-11-15 03:35:59,2025,11,15,3,715.89,Revendedora,Máscara de Cílios - Variação 3,Maquiagem,Máscara de Cílios,Giovanna Novais,TO,Outros
2559,2025-09-12 17:22:55,2025,9,12,1,160.70,App,Base Mate - Variação 3,Maquiagem,Base Mate,Ana Cecília da Paz,RS,Gmail User
2417,2025-11-14 03:10:41,2025,11,14,4,642.80,Loja Física,Base Mate - Variação 3,Maquiagem,Base Mate,Guilherme Sá,PE,Outros
1695,2025-08-10 10:22:49,2025,8,10,5,731.85,App,Máscara Capilar - Variação 1,Cabelos,Máscara Capilar,Daniel Farias,AC,Outros
2683,2024-12-28 21:20:18,2024,12,28,1,146.37,Site,Máscara Capilar - Variação 1,Cabelos,Máscara Capilar,Sr. Bento Rios,RR,Outros
2887,2025-09-19 10:52:19,2025,9,19,2,492.00,Revendedora,Óleo Corporal - Variação 1,Corpo e Banho,Óleo Corporal,Brenda Araújo,PA,Gmail User
2187,2025-11-05 21:21:45,2025,11,5,2,477.26,Revendedora,Máscara de Cílios - Variação 3,Maquiagem,Máscara de Cílios,Ana Liz Azevedo,PA,Gmail User
2657,2025-11-13 21:03:25,2025,11,13,4,877.40,Loja Física,Máscara Capilar - Variação 3,Cabelos,Máscara Capilar,Josué Marques,AL,Outros
2952,2025-07-25 21:35:37,2025,7,25,1,170.57,Loja Física,Máscara de Cílios - Variação 1,Maquiagem,Máscara de Cílios,Liam Oliveira,PI,Outros
1509,2025-02-12 01:24:34,2025,2,12,5,382.95,Revendedora,Batom Make B. - Variação 2,Maquiagem,Batom Make B.,Vinícius Carvalho,PR,Outros
2550,2025-02-22 03:43:18,2025,2,22,5,706.75,Loja Física,Malbec - Variação 3,Perfumaria,Malbec,Dra. Gabrielly Gonçalves,BA,Outros
2996,2025-04-25 07:01:56,2025,4,25,1,169.06,Revendedora,Condicionador Match - Variação 1,Cabelos,Condicionador Match,Mateus Nunes,RO,Outros
1482,2025-10-17 11:50:26,2025,10,17,3,431.85,Site,Malbec - Variação 1,Perfumaria,Malbec,Maria Luiza Garcia,RJ,Outros
2850,2025-03-25 17:09:23,2025,3,25,4,864.12,Site,Condicionador Match - Variação 2,Cabelos,Condicionador Match,Kaique Castro,RO,Outros
2907,2025-01-11 23:33:30,2025,1,11,5,804.00,Loja Física,Floratta - Variação 3,Perfumaria,Floratta,Juan da Cruz,SE,Gmail User
2720,2025-11-07 04:26:04,2025,11,7,2,432.06,App,Condicionador Match - Variação 2,Cabelos,Condicionador Match,João Vitor Jesus,AC,Outros
2693,2024-12-11 23:28:44,2024,12,11,1,210.20,Site,Base Mate - Variação 1,Maquiagem,Base Mate,Mateus Farias,SE,Outros
2257,2025-01-27 22:10:53,2025,1,27,4,864.12,Revendedora,Condicionador Match - Variação 2,Cabelos,Condicionador Match,Sara Carvalho,PE,Outros
2799,2024-12-21 11:58:01,2024,12,21,2,96.80,Site,Sabonete Líquido - Variação 1,Corpo e Banho,Sabonete Líquido,Maria Fernanda Gonçalves,MT,Outros
2973,2025-01-15 19:34:06,2025,1,15,1,32.83,Loja Física,Loção Nativa SPA - Variação 3,Corpo e Banho,Loção Nativa SPA,Srta. Isabelly Moreira,AM,Outros
2909,2025-05-30 10:59:48,2025,5,30,5,412.30,Site,Condicionador Match - Variação 3,Cabelos,Condicionador Match,Levi Peixoto,CE,Outros
2552,2025-07-09 03:39:40,2025,7,9,1,32.83,Revendedora,Loção Nativa SPA - Variação 3,Corpo e Banho,Loção Nativa SPA,Laura Carvalho,PB,Outros
2574,2025-04-13 10:10:06,2025,4,13,2,341.14,Site,Máscara de Cílios - Variação 1,Maquiagem,Máscara de Cílios,Thomas Camargo,AL,Outros
1472,2025-01-19 14:23:29,2025,1,19,2,246.30,Loja Física,Base Mate - Variação 2,Maquiagem,Base Mate,João Lucas Peixoto,MG,Gmail User
1302,2025-02-11 06:09:25,2025,2,11,1,32.83,Site,Loção Nativa SPA - Variação 3,Corpo e Banho,Loção Nativa SPA,Dr. Rafael Mendonça,PB,Gmail User
2737,2025-04-01 20:05:59,2025,4,1,3,188.10,Loja Física,Glamour - Variação 2,Perfumaria,Glamour,Davi Lucca Rezende,PA,Outros
2543,2025-09-04 01:23:01,2025,9,4,3,689.67,Loja Física,Quasar - Variação 3,Perfumaria,Quasar,Ana Sophia da Conceição,AM,Outros
2486,2025-05-24 22:39:49,2025,5,24,2,418.20,Site,Shampoo Match - Variação 1,Cabelos,Shampoo Match,Maria Isis Ferreira,PE,Gmail User
2331,2024-12-18 08:49:31,2024,12,18,1,31.43,App,Quasar - Variação 2,Perfumaria,Quasar,Benício das Neves,RJ,Outros
2962,2025-07-22 16:39:34,2025,7,22,3,145.20,Loja Física,Sabonete Líquido - Variação 1,Corpo e Banho,Sabonete Líquido,Mirella Moraes,TO,Outros
2260,2025-04-15 11:15:15,2025,4,15,3,566.73,Loja Física,Malbec - Variação 2,Perfumaria,Malbec,Theodoro Rocha,ES,Outros
1810,2025-01-14 23:38:01,2025,1,14,1,219.35,Site,Máscara Capilar - Variação 3,Cabelos,Máscara Capilar,Sr. Lucas Gabriel Abreu,AL,Outros
2542,2025-04-25 11:44:39,2025,4,25,3,667.44,Site,Quasar - Variação 1,Perfumaria,Quasar,Lavínia da Luz,RR,Gmail User
2432,2025-02-07 08:20:56,2025,2,7,3,627.30,App,Shampoo Match - Variação 1,Cabelos,Shampoo Match,Lunna Casa Grande,AP,Outros
2674,2025-08-21 10:01:10,2025,8,21,2,152.14,Site,Egeo - Variação 1,Perfumaria,Egeo,Antônio Azevedo,PR,Outros
2747,2025-07-30 22:53:13,2025,7,30,4,493.84,Revendedora,Shampoo Match - Variação 2,Cabelos,Shampoo Match,Caio da Mota,CE,Outros
2679,2025-08-09 19:08:16,2025,8,9,3,680.40,Site,Floratta - Variação 1,Perfumaria,Floratta,Srta. Juliana Nascimento,MT,Outros
2950,2024-12-28 16:00:24,2024,12,28,5,1149.45,Revendedora,Quasar - Variação 3,Perfumaria,Quasar,Manuela Silva,PI,Outros
2523,2025-09-15 20:07:30,2025,9,15,2,282.70,Revendedora,Malbec - Variação 3,Perfumaria,Malbec,Erick Garcia,SE,Outros
2878,2025-10-30 03:18:56,2025,10,30,4,304.28,Loja Física,Egeo - Variação 1,Perfumaria,Egeo,Maria Isis Macedo,RR,Outros
2859,2025-11-28 06:53:14,2025,11,28,3,482.10,Loja Física,Base Mate - Variação 3,Maquiagem,Base Mate,Sr. Pedro Henrique Castro,AP,Gmail User
2656,2025-08-28 16:00:19,2025,8,28,2,420.40,Loja Física,Base Mate - Variação 1,Maquiagem,Base Mate,Maria Laura Melo,PI,Outros
2364,2025-08-09 18:09:22,2025,8,9,2,164.92,Revendedora,Condicionador Match - Variação 3,Cabelos,Condicionador Match,Otto Nascimento,MG,Outros
2749,2025-02-19 11:50:20,2025,2,19,2,438.70,App,Máscara Capilar - Variação 3,Cabelos,Máscara Capilar,Vicente Marques,RR,Outros
2185,2025-02-01 09:03:56,2025,2,1,2,459.78,Site,Quasar - Variação 3,Perfumaria,Quasar,Luísa Sales,AL,Outros
2930,2025-01-03 08:27:42,2025,1,3,5,719.75,Loja Física,Malbec - Variação 1,Perfumaria,Malbec,Luana Santos,GO,Outros
1974,2024-12-25 09:22:07,2024,12,25,5,1237.15,Revendedora,Sabonete Líquido - Variação 2,Corpo e Banho,Sabonete Líquido,Ana Gomes,TO,Outros
2759,2025-06-17 08:58:05,2025,6,17,4,602.80,Loja Física,Sabonete Líquido - Variação 3,Corpo e Banho,Sabonete Líquido,Cauã Abreu,RR,Outros
